代码,时间,开盘价,最高价,最低价,收盘价,成交量,成交额
SZ399389,2015-08-05,4583.6400,4658.2400,4477.0100,4528.3900,1377974300,27827849216.00
SZ399390,2015-08-05,3650.8100,3678.2000,3568.2700,3586.5600,2175480400,19306209280.00
SZ399391,2015-08-05,1813.6200,1821.4100,1779.6200,1783.4600,4498640000,61332680704.00
SZ399392,2015-08-05,3024.7000,3069.4600,2957.2300,2977.6300,6209416000,115982573568.00
SZ399393,2015-08-05,7647.2700,7668.1100,7425.3900,7452.7900,2009610000,28442079232.00
SZ399394,2015-08-05,9796.6300,9903.1400,9624.1200,9670.4200,1239428600,28827453440.00
SZ399395,2015-08-05,4793.8000,4842.5900,4697.4100,4727.8300,1769220600,19310104576.00
SZ399396,2015-08-05,8598.0000,8633.2300,8421.7100,8461.6400,1065527700,18307559424.00
SZ399397,2015-08-05,3404.2100,3422.7000,3319.5500,3332.6400,1079550100,27713884160.00
SZ399398,2015-08-05,7214.5600,7278.3800,7082.0700,7113.8900,2712157200,48913907712.00
SZ399399,2015-08-05,6112.9100,6159.2800,5997.2600,6009.9700,14776483200,209994317824.00
SZ399400,2015-08-05,3681.2300,3710.5200,3606.5800,3619.2700,28777548800,408569970688.00
SZ399401,2015-08-05,5516.9700,5598.9300,5403.4100,5453.2500,24801097600,362190143488.00
SZ399402,2015-08-05,3192.5900,3205.0800,3115.6600,3119.8600,7792924800,97136156672.00
SZ399403,2015-08-05,6227.0300,6266.9000,6090.8100,6119.7700,2814538600,54938079232.00
SZ399550,2015-08-05,5086.9400,5112.8400,4993.7500,4998.3100,2167249000,35769479168.00
SZ399551,2015-08-05,6950.6600,7031.0500,6765.0800,6806.4800,1185443300,32520511488.00
SZ399552,2015-08-05,5282.8900,5302.0300,5179.1600,5185.7300,2012721200,39374114816.00
SZ399553,2015-08-05,5572.7700,5606.1400,5444.1700,5454.6600,980969000,26088968192.00
SZ399554,2015-08-05,4752.1900,4773.9300,4667.2000,4670.2600,1837490800,32812648448.00
SZ399555,2015-08-05,3863.4900,3879.7600,3803.3000,3804.7700,2275071400,32301336576.00
SZ399602,2015-08-05,1624.2200,1643.1100,1595.5300,1602.9500,1845460000,38569058304.00
SZ399604,2015-08-05,1469.7000,1485.1200,1439.6900,1449.5800,2000414000,32955488256.00
SZ399606,2015-08-05,2620.7600,2663.9800,2557.0300,2579.2900,1824542800,51827798016.00
SZ399608,2015-08-05,3069.8700,3105.8200,2999.0100,3017.0100,2210578000,60501868544.00
SZ399610,2015-08-05,6469.9400,6528.6800,6300.7100,6335.1000,2065088400,40983556096.00
SZ399611,2015-08-05,2524.0100,2554.3000,2468.7700,2481.2100,2459007400,62801960960.00
SZ399612,2015-08-05,2373.6700,2402.1500,2321.7200,2333.4200,2459007400,62801960960.00
SZ399613,2015-08-05,5222.1200,5306.2300,5130.6700,5196.7200,532837300,6654872576.00
SZ399614,2015-08-05,3637.0300,3691.3800,3590.4300,3619.1300,2989439600,40607629312.00
SZ399615,2015-08-05,4402.8600,4494.2300,4337.3700,4371.2900,4055582800,73288998912.00
SZ399616,2015-08-05,7368.5400,7424.3000,7241.5000,7276.2500,2088445800,36313706496.00
SZ399617,2015-08-05,7549.7200,7629.3900,7398.6500,7439.2400,600306300,13177576448.00
SZ399618,2015-08-05,10956.1000,11123.6600,10788.1700,10847.8500,539386900,14924227584.00
SZ399619,2015-08-05,5730.9400,5738.7100,5609.1400,5615.3800,776081000,11426667520.00
SZ399620,2015-08-05,4631.1800,4682.4100,4513.4800,4543.9800,2670933600,60460298240.00
SZ399621,2015-08-05,4392.9500,4474.1600,4284.0600,4339.8200,607480900,15503295488.00
SZ399622,2015-08-05,3791.2900,3840.4700,3679.2300,3722.2200,837452100,8384927232.00
SZ399623,2015-08-05,9746.1900,9882.3100,9574.9700,9640.7000,7646468000,145809227776.00
SZ399624,2015-08-05,2647.6100,2691.6500,2600.9400,2625.0100,6496832000,125166534656.00
SZ399625,2015-08-05,2303.0800,2336.8000,2258.4200,2275.2200,8955840000,187968487424.00
SZ399626,2015-08-05,2070.1800,2096.6000,2027.0300,2037.7700,2978669200,75807588352.00
SZ399627,2015-08-05,2022.4000,2050.9300,1987.5900,2002.4300,3383572400,54733438976.00
SZ399628,2015-08-05,2839.2000,2892.0600,2801.0100,2824.5200,3363714400,64060067840.00
SZ399629,2015-08-05,2578.7100,2626.1100,2543.1500,2565.9500,4627426400,58186252288.00
SZ399630,2015-08-05,1845.6300,1863.8400,1808.5200,1816.4700,7010328800,139701256192.00
SZ399631,2015-08-05,1854.0000,1873.4300,1821.2000,1830.3100,9478730400,117349105664.00
SZ399632,2015-08-05,5340.6500,5397.4700,5247.0500,5264.9800,4334069200,75017109504.00
SZ399633,2015-08-05,7221.4100,7313.7200,7072.3900,7122.5500,9879249600,175733669888.00
SZ399634,2015-08-05,4927.8800,4980.1200,4814.0500,4844.4100,2297608800,53560737792.00
SZ399635,2015-08-05,2588.2700,2639.2700,2538.6100,2564.4600,1824542800,51827798016.00
